Time (s),EMG
0.00025391578674316406,42
0.00031280517578125,42
0.0003631114959716797,42
0.0004069805145263672,42
0.00045800209045410156,42
0.0005040168762207031,44
0.0005478858947753906,43
0.0005908012390136719,43
0.0006327629089355469,43
0.0006868839263916016,43
0.0007281303405761719,43
0.0007748603820800781,42
0.0008158683776855469,42
0.0012459754943847656,42
0.0012879371643066406,42
0.0013320446014404297,42
0.0013740062713623047,42
0.0014159679412841797,42
0.0014579296112060547,43
0.0014989376068115234,42
0.0015439987182617188,42
0.0015859603881835938,42
0.0016279220581054688,42
0.0016689300537109375,42
0.0017139911651611328,42
0.0017559528350830078,42
0.0017969608306884766,43
0.001840829849243164,42
0.001882791519165039,42
0.0019237995147705078,42
0.001965761184692383,42
0.002007007598876953,42
0.002051830291748047,41
0.002093791961669922,41
0.002135038375854492,42
0.002176046371459961,42
0.0022199153900146484,42
0.015015840530395508,42
0.03546285629272461,42
0.056054115295410156,42
0.07647109031677246,42
0.0968787670135498,42
0.11745190620422363,42
0.13793301582336426,41
0.158308744430542,42
0.17876791954040527,42
0.1952357292175293,42
0.21565485000610352,42
0.2361469268798828,42
0.2566189765930176,42
0.27709388732910156,42
0.2975637912750244,42
0.3180868625640869,41
0.3385648727416992,41
0.3590378761291504,41
0.37950682640075684,42
0.39996790885925293,41
0.42046093940734863,42
0.4410078525543213,42
0.4614279270172119,42
0.48201704025268555,42
0.5023608207702637,41
0.5228390693664551,41
0.5433919429779053,41
0.5637588500976562,41
0.5802628993988037,41
0.6007077693939209,41
0.6211409568786621,41
0.641650915145874,41
0.6621279716491699,41
0.6825809478759766,41
0.7031188011169434,42
0.723538875579834,42
0.7440688610076904,42
0.7645277976989746,42
0.7849788665771484,42
0.8055329322814941,42
0.8259389400482178,42
0.8464467525482178,42
0.8669838905334473,42
0.8873758316040039,42
0.9078531265258789,42
0.9282848834991455,42
0.9448609352111816,42
0.9653279781341553,42
0.9857017993927002,42
1.0061588287353516,41
1.0266189575195312,42
1.0471479892730713,42
1.0677120685577393,41
1.0880608558654785,42
1.1085240840911865,41
1.129091739654541,42
1.149554967880249,41
1.1700448989868164,41
1.190478801727295,42
1.2109649181365967,42
1.231415033340454,42
1.2519149780273438,42
1.2724769115447998,42
1.2928738594055176,41
1.3133151531219482,41
1.329725980758667,41
1.3503518104553223,42
1.370830774307251,42
1.3912808895111084,42
1.4116621017456055,42
1.432187795639038,42
1.4526710510253906,42
1.4730918407440186,42
1.4935529232025146,42
1.5140459537506104,41
1.534541130065918,41
1.5550110340118408,42
1.5754990577697754,42
1.59596586227417,42
1.6164360046386719,41
1.6369059085845947,41
1.657371997833252,42
1.6778597831726074,41
1.6942899227142334,42
1.714728832244873,42
1.7352368831634521,42
1.7556819915771484,42
1.77622389793396,41
1.7967169284820557,41
1.8171279430389404,41
1.837613821029663,42
1.8582038879394531,42
1.8785669803619385,42
1.8990750312805176,41
1.9195337295532227,41
1.9402189254760742,41
1.9605000019073486,41
1.9810149669647217,41
2.0015170574188232,41
2.0219500064849854,41
2.042397975921631,42
2.0628528594970703,42
2.0792489051818848,42
2.099716901779175,42
2.1202497482299805,42
2.1406867504119873,42
2.1612308025360107,41
2.18167781829834,42
2.202148914337158,42
2.222641944885254,42
2.2430930137634277,42
2.2636847496032715,41
2.284188985824585,42
2.304689884185791,42
2.3251640796661377,42
2.3456058502197266,42
2.366116762161255,42
2.386638879776001,41
2.407059907913208,42
2.42739200592041,42
2.4478111267089844,42
2.4642629623413086,42
2.484771728515625,41
2.505283832550049,42
2.525735855102539,42
2.54622483253479,42
2.566671848297119,42
2.587251901626587,41
2.607616901397705,42
2.628204107284546,42
2.6486058235168457,47
2.669079065322876,66
2.689574956893921,115
2.7100517749786377,113
2.7305238246917725,128
2.751007080078125,183
2.771495819091797,212
2.7919650077819824,213
2.8124449253082275,328
2.8329758644104004,362
2.853346109390259,388
2.8738198280334473,379
2.890249013900757,396
2.9107398986816406,330
2.931380033493042,289
2.9518189430236816,335
2.972216844558716,341
2.9926669597625732,294
3.013157844543457,319
3.0336718559265137,374
3.054157018661499,391
3.074573040008545,394
3.0950767993927,333
3.1155478954315186,325
3.1360089778900146,372
3.15653395652771,399
3.1771459579467773,395
3.197453022003174,390
3.217952013015747,360
3.2384908199310303,385
3.258917808532715,332
3.2794189453125,278
3.299849033355713,368
3.320307970046997,424
3.340754985809326,419
3.3572568893432617,374
3.3778319358825684,364
3.398148775100708,330
3.418630838394165,334
3.439210891723633,424
3.4595630168914795,372
3.4800949096679688,339
3.5005619525909424,306
3.5210089683532715,312
3.5414879322052,283
3.5619988441467285,298
3.5824618339538574,278
3.602921962738037,220
3.6234068870544434,275
3.6438989639282227,257
3.664486885070801,225
3.684844970703125,218
3.705333948135376,240
3.7258009910583496,259
3.7462689876556396,255
3.766779899597168,249
3.7877230644226074,257
3.8077139854431152,245
3.828145980834961,247
3.8445990085601807,233
3.8651998043060303,257
3.8855679035186768,214
3.9060218334198,230
3.9266109466552734,253
3.947173833847046,239
3.967602014541626,265
3.987985849380493,251
4.008435010910034,246
4.028917074203491,233
4.04939603805542,202
4.069923162460327,174
4.0903639793396,161
4.110965013504028,144
4.131417751312256,146
4.1518049240112305,164
4.17229700088501,195
4.192731857299805,177
4.213308811187744,211
4.233688831329346,208
4.254213809967041,194
4.274730920791626,183
4.295063018798828,155
4.315544128417969,156
4.331976890563965,158
4.352483034133911,190
4.373002052307129,248
4.3934338092803955,209
4.413901090621948,227
4.434456825256348,223
4.454874753952026,180
4.475342035293579,200
4.495982885360718,189
4.516449928283691,169
4.5367889404296875,181
4.557265996932983,147
4.577753782272339,141
4.598229885101318,168
4.6187357902526855,175
4.639220952987671,194
4.659786939620972,191
4.680207967758179,147
4.700676918029785,147
4.721144914627075,132
4.741547107696533,122
4.762044906616211,143
4.7824788093566895,206
4.7990100383758545,174
4.819401025772095,139
4.839870929718018,135
4.8603620529174805,144
4.880853891372681,155
4.901407957077026,169
4.921878099441528,149
4.942421913146973,158
4.962766885757446,187
4.983248949050903,179
5.003741025924683,171
5.024197816848755,224
5.044673919677734,194
5.065234899520874,195
5.085700750350952,352
5.106209993362427,266
5.126617908477783,242
5.1470558643341064,291
5.167575120925903,239
5.188013076782227,296
5.208485841751099,261
5.228981018066406,253
5.249477863311768,219
5.269908905029297,191
5.286324977874756,246
5.306819915771484,214
5.327338933944702,234
5.347765922546387,186
5.3682639598846436,168
5.388792037963867,208
5.4092957973480225,169
5.429720878601074,195
5.450310945510864,176
5.470671892166138,210
5.491109848022461,182
5.5116260051727295,187
5.532128095626831,209
5.5525429248809814,242
5.573001861572266,297
5.593520879745483,251
5.614013910293579,214
5.634469985961914,180
5.65495491027832,152
5.6754310131073,150
5.695878982543945,152
5.7163708209991455,136
5.736809015274048,140
5.757236003875732,132
5.773709058761597,154
5.794204950332642,147
5.814671754837036,146
5.835198879241943,131
5.8556389808654785,145
5.876183986663818,145
5.8966217041015625,152
5.917093992233276,181
5.937761068344116,163
5.9580700397491455,145
5.97851300239563,155
5.998987913131714,178
6.019474983215332,160
6.0399558544158936,189
