Time (s),EMG
0.0007600784301757812,27
0.0008108615875244141,26
0.0008549690246582031,25
0.0009000301361083984,24
0.0009667873382568359,24
0.0010149478912353516,24
0.0011088848114013672,24
0.0012199878692626953,23
0.0012798309326171875,23
0.0013570785522460938,24
0.0013990402221679688,24
0.0014789104461669922,24
0.0015208721160888672,23
0.0015778541564941406,23
0.0016188621520996094,23
0.0016717910766601562,23
0.0017137527465820312,23
0.001756906509399414,23
0.0017979145050048828,23
0.0018401145935058594,23
0.0019030570983886719,23
0.0019440650939941406,23
0.0019860267639160156,23
0.008951902389526367,23
0.029254913330078125,23
0.049674034118652344,23
0.06980609893798828,23
0.0901949405670166,23
0.11002588272094727,23
0.13029885292053223,23
0.1504518985748291,23
0.17058897018432617,23
0.19093084335327148,23
0.21130013465881348,23
0.23180198669433594,23
0.25147485733032227,23
0.2716069221496582,23
0.29195380210876465,23
0.31202197074890137,23
0.33238983154296875,23
0.35268497467041016,23
0.3726158142089844,23
0.39295101165771484,23
0.4133470058441162,23
0.4333920478820801,23
0.45354485511779785,23
0.47376394271850586,23
0.49399495124816895,23
0.5141518115997314,23
0.5344769954681396,23
0.5546491146087646,23
0.5747330188751221,23
0.594959020614624,23
0.6151399612426758,23
0.6354811191558838,23
0.6558268070220947,23
0.6757171154022217,23
0.696037769317627,23
0.7161898612976074,23
0.7363979816436768,23
0.756584882736206,23
0.7768540382385254,23
0.7973177433013916,23
0.8172469139099121,23
0.8374550342559814,23
0.8578181266784668,23
0.8779819011688232,23
0.8984098434448242,23
0.9185798168182373,23
0.9385490417480469,23
0.9588589668273926,23
0.979017972946167,23
0.9991710186004639,23
1.0194449424743652,23
1.039525032043457,23
1.0598390102386475,23
1.0800378322601318,23
1.1003618240356445,23
1.1204841136932373,23
1.1404869556427002,23
1.1609477996826172,23
1.1809749603271484,23
1.201446771621704,23
1.2215449810028076,23
1.2416439056396484,23
1.2619318962097168,23
1.2821149826049805,23
1.3023097515106201,23
1.3223857879638672,23
1.3424599170684814,23
1.3627939224243164,23
1.3829538822174072,23
1.4033119678497314,23
1.423403024673462,23
1.4436249732971191,23
1.4639201164245605,23
1.4840528964996338,23
1.5042407512664795,23
1.5244228839874268,23
1.5446319580078125,23
1.5648889541625977,23
1.5849878787994385,23
1.6055848598480225,24
1.6254479885101318,25
1.6457698345184326,25
1.6658947467803955,24
1.6860170364379883,24
1.7063779830932617,24
1.726545810699463,24
1.7465860843658447,25
1.766895055770874,24
1.7870688438415527,25
1.8073558807373047,24
1.8274879455566406,24
1.8477020263671875,24
1.8679568767547607,23
1.8881089687347412,23
1.9082798957824707,23
1.928558111190796,23
1.9486989974975586,23
1.9690039157867432,23
1.9891340732574463,23
2.0092689990997314,23
2.029550075531006,24
2.0499508380889893,24
2.0701019763946533,24
2.09025502204895,24
2.110379934310913,23
2.1307129859924316,24
2.1507067680358887,24
2.1714439392089844,24
2.1911580562591553,24
2.21159291267395,23
2.231984853744507,24
2.2518398761749268,23
2.2722721099853516,23
2.292280912399292,23
2.3123650550842285,24
2.3326799869537354,23
2.3528177738189697,23
2.373098850250244,23
2.393221855163574,24
2.4133589267730713,24
2.4337708950042725,24
2.453908920288086,24
2.47432017326355,24
2.4943339824676514,23
2.514373779296875,23
2.5347440242767334,23
2.554940938949585,24
2.5751547813415527,24
2.5953209400177,24
2.615440845489502,23
2.6357150077819824,23
2.655884027481079,23
2.6762659549713135,23
2.696491003036499,23
2.71647310256958,24
2.7368087768554688,23
2.7568929195404053,23
2.777204990386963,23
2.797372817993164,23
2.8175721168518066,23
2.8378028869628906,23
2.857947826385498,23
2.8782310485839844,23
2.8984251022338867,24
2.9185121059417725,24
2.938849925994873,23
2.9589760303497314,23
2.97934889793396,24
2.9994258880615234,23
3.019576072692871,24
3.039971113204956,24
3.060093879699707,23
3.0804641246795654,24
3.1008408069610596,24
3.120891809463501,24
3.1411049365997314,23
3.161068916320801,23
3.1812169551849365,23
3.201627731323242,24
3.22172474861145,23
3.241966962814331,23
3.2620558738708496,23
3.2823128700256348,23
3.3026208877563477,23
3.322645902633667,23
3.3430588245391846,23
3.363105058670044,23
3.3832459449768066,23
3.4036829471588135,23
3.423933982849121,23
3.4443750381469727,23
3.4644758701324463,23
3.4846599102020264,23
3.504884958267212,23
3.5251047611236572,23
3.5452919006347656,23
3.565498113632202,23
3.5856499671936035,23
3.605915069580078,23
3.625746965408325,23
3.6460368633270264,23
3.666240930557251,23
3.686462879180908,23
3.706645965576172,24
3.7268569469451904,23
3.747121810913086,23
3.7672159671783447,24
3.787369966506958,24
3.807685136795044,24
3.8278188705444336,23
3.848207950592041,23
3.8683178424835205,23
3.8883540630340576,23
3.9088969230651855,23
3.92905592918396,23
