Time (s),EMG 1,EMG 2
0.0007228851318359375,23,42
0.0008077621459960938,23,42
0.0008859634399414062,23,42
0.0009598731994628906,23,42
0.0010349750518798828,23,42
0.0011088848114013672,23,42
0.001180887222290039,23,42
0.0012526512145996094,23,42
0.0013277530670166016,23,42
0.0014178752899169922,23,42
0.001489877700805664,23,42
0.0015659332275390625,23,42
0.0016376972198486328,23,42
0.0017137527465820312,23,42
0.0017857551574707031,23,42
0.001857757568359375,23,42
0.0019297599792480469,23,42
0.0019898414611816406,23,42
0.0020427703857421875,23,42
0.0020956993103027344,23,43
0.0021507740020751953,23,42
0.002202749252319336,23,42
0.002255678176879883,23,42
0.015211820602416992,23,42
0.0357518196105957,23,43
0.05634784698486328,23,42
0.07654881477355957,23,42
0.09694266319274902,23,42
0.11739587783813477,23,42
0.13788485527038574,23,43
0.15837883949279785,23,43
0.17865872383117676,23,43
0.19910883903503418,23,42
0.21961593627929688,23,43
0.24012970924377441,23,43
0.26056694984436035,23,43
0.28095102310180664,23,43
0.30136871337890625,23,42
0.3220357894897461,23,42
0.34234166145324707,23,42
0.3627798557281494,23,42
0.3831596374511719,23,42
0.4037299156188965,23,42
0.4240896701812744,23,41
0.4445507526397705,23,41
0.4651179313659668,23,42
0.48541998863220215,23,42
0.5058228969573975,23,42
0.5262799263000488,23,42
0.5468206405639648,23,42
0.5671007633209229,23,42
0.5876076221466064,23,42
0.6080617904663086,23,42
0.628532886505127,23,42
0.6488368511199951,23,42
0.6693158149719238,23,43
0.689896821975708,22,43
0.7102420330047607,23,43
0.7307488918304443,23,42
0.7513418197631836,23,42
0.7715787887573242,23,42
0.7920517921447754,23,42
0.8123137950897217,23,42
0.8328077793121338,23,42
0.8533668518066406,23,42
0.8738045692443848,23,42
0.8943779468536377,23,42
0.9145967960357666,23,42
0.9350388050079346,23,42
0.9555408954620361,23,42
0.9760797023773193,23,42
0.9963028430938721,23,42
1.0168440341949463,23,42
1.0373108386993408,23,42
1.0577867031097412,23,42
1.078352689743042,23,43
1.0985677242279053,23,42
1.119046688079834,23,42
1.1395325660705566,23,42
1.1599538326263428,23,42
1.1802828311920166,23,41
1.2007558345794678,23,41
1.2212238311767578,23,42
1.2417147159576416,23,41
1.2621827125549316,23,42
1.2825016975402832,23,41
1.3029677867889404,23,42
1.323697805404663,23,42
1.3439836502075195,23,42
1.364440679550171,23,42
1.3847947120666504,23,42
1.4052999019622803,23,42
1.4256937503814697,23,42
1.4461658000946045,23,42
1.466653823852539,23,42
1.487048864364624,23,42
1.5074338912963867,23,42
1.527991771697998,23,43
1.5484259128570557,23,42
1.568692922592163,23,42
1.5891728401184082,23,42
1.609649896621704,23,42
1.6302547454833984,23,42
1.6504638195037842,23,42
1.6709797382354736,23,42
1.6914057731628418,23,42
1.7119147777557373,23,42
1.7324087619781494,23,42
1.7529218196868896,23,42
1.7731456756591797,23,42
1.7936058044433594,23,42
1.814004898071289,23,43
1.8344357013702393,23,43
1.8549308776855469,23,42
1.8754208087921143,23,42
1.8956856727600098,23,42
1.9162769317626953,23,42
1.9367187023162842,23,42
1.9571216106414795,23,41
1.9774298667907715,23,41
1.997973918914795,23,42
2.0185317993164062,23,41
2.0389928817749023,23,42
2.059370994567871,23,42
2.079735040664673,23,42
2.1001267433166504,23,42
2.120633840560913,23,42
2.1411898136138916,23,41
2.161612033843994,23,42
2.181898832321167,23,42
2.2023518085479736,23,42
2.2230398654937744,23,42
2.243335723876953,23,42
2.2638189792633057,23,42
2.2841718196868896,23,42
2.304569721221924,23,42
2.325269937515259,23,42
2.3455429077148438,23,42
2.3661696910858154,23,43
2.3863606452941895,23,42
2.4069056510925293,23,42
2.4272708892822266,23,42
2.4477787017822266,23,42
2.46811580657959,23,42
2.4885897636413574,23,42
2.5090768337249756,23,42
2.529482841491699,23,42
2.549966812133789,23,42
2.570359706878662,23,41
2.590787649154663,23,42
2.6112539768218994,23,42
2.631746768951416,23,42
2.6520209312438965,23,41
2.672518730163574,23,42
2.693004608154297,23,42
2.713470935821533,23,42
2.7339909076690674,23,42
2.75430965423584,23,42
2.774847984313965,23,42
2.7952098846435547,23,42
2.815539836883545,23,43
2.836024761199951,23,43
2.856496810913086,23,43
2.8769946098327637,23,43
2.8974359035491943,23,43
2.917750835418701,23,42
2.9382317066192627,23,42
2.9587578773498535,23,42
2.9792847633361816,23,42
2.999480724334717,23,42
3.019965887069702,23,42
3.0404958724975586,23,42
3.061011791229248,23,42
3.081254720687866,23,42
3.101747751235962,23,42
3.1221868991851807,23,42
3.142728805541992,23,42
3.162994861602783,23,43
3.1835248470306396,23,42
3.203965902328491,23,42
3.224465847015381,23,42
3.2449257373809814,23,42
3.2653937339782715,23,42
3.285740613937378,23,42
3.30615496635437,23,42
3.326626777648926,23,42
3.3471269607543945,23,42
3.3677046298980713,23,42
3.3879926204681396,23,42
3.4084858894348145,23,42
3.428853988647461,23,42
3.44938063621521,23,42
3.469700813293457,23,42
3.4901628494262695,23,43
3.510807752609253,23,43
3.531130790710449,23,43
3.5514047145843506,23,43
3.5718929767608643,23,43
3.592390775680542,23,43
3.6128997802734375,23,43
3.633403778076172,23,43
3.6536738872528076,23,43
3.6741716861724854,23,43
3.694779872894287,23,42
3.7151038646698,23,42
3.7355546951293945,23,42
3.755880832672119,23,42
3.7763848304748535,23,42
3.796862840652466,23,42
3.817171812057495,23,42
3.8376009464263916,23,41
3.8581056594848633,23,41
3.878615617752075,23,41
3.898930788040161,23,41
3.919341802597046,23,42
3.939858913421631,23,41
3.9603378772735596,23,42
3.9806628227233887,23,42
4.001101732254028,23,42
4.021622896194458,23,42
4.0420379638671875,23,42
4.0624098777771,23,42
4.0828588008880615,23,42
4.103313684463501,23,42
4.123816728591919,23,43
4.144316911697388,23,43
4.164763689041138,23,43
4.185076951980591,23,42
4.205564737319946,23,42
4.226073741912842,23,42
4.2465198040008545,23,42
4.2668187618255615,23,42
4.287307977676392,23,42
4.307790756225586,23,42
4.328275918960571,23,42
4.3487348556518555,23,42
4.369231700897217,23,43
4.389733791351318,23,42
4.410077810287476,23,42
4.430517911911011,23,42
4.451020002365112,23,42
4.471320629119873,23,42
4.491750717163086,23,42
4.512353897094727,23,43
4.532717704772949,23,43
4.552995681762695,23,42
4.573476791381836,23,42
4.594010829925537,23,42
4.614466667175293,25,42
4.634808778762817,24,43
4.655343770980835,24,43
4.675745964050293,23,43
4.696208715438843,23,43
4.716907978057861,23,43
4.737051725387573,23,42
4.757440805435181,23,42
4.777954816818237,23,43
4.798567771911621,23,43
4.818698883056641,23,43
4.839175701141357,23,42
4.859695672988892,23,43
4.880228757858276,23,42
4.9004809856414795,23,42
4.920892715454102,23,42
4.941401720046997,23,42
4.961899995803833,23,42
4.982287645339966,23,42
5.002711772918701,23,42
5.023392915725708,23,42
5.043715715408325,23,42
5.064356803894043,23,42
5.084524631500244,23,42
5.105087995529175,23,43
5.125458717346191,23,42
