Time (s),Temporalis,Buccinator,Suprahyoid,Massater,Trial
0.0006780624389648438,23,23,28,43,53
0.0009860992431640625,23,23,26,43,53
0.001291036605834961,23,23,23,42,53
0.0016970634460449219,23,23,25,42,53
0.013076066970825195,23,23,23,42,53
0.03427410125732422,23,23,21,42,53
0.05562710762023926,23,23,22,43,53
0.07682299613952637,23,23,23,42,53
0.09812188148498535,23,23,22,42,53
0.1195828914642334,23,23,21,42,53
0.1410529613494873,23,23,21,42,53
0.16202116012573242,23,23,20,42,53
0.18302607536315918,23,23,20,42,53
0.2046809196472168,23,22,20,43,53
0.22567105293273926,23,23,20,42,53
0.24694204330444336,23,23,20,42,53
0.26841282844543457,23,23,20,42,53
0.28941798210144043,23,23,20,42,53
0.31087613105773926,23,23,20,42,53
0.3319730758666992,23,23,21,42,53
0.3532989025115967,23,23,22,42,53
0.3746180534362793,23,23,25,42,53
0.395798921585083,23,23,23,42,53
0.4180459976196289,23,23,27,42,53
0.43813085556030273,23,23,31,42,53
0.4594261646270752,23,24,43,43,53
0.48067617416381836,23,24,45,44,53
0.502047061920166,23,24,37,43,53
0.5233910083770752,23,24,32,42,53
0.5447030067443848,26,24,28,42,53
0.5696079730987549,28,23,30,41,53
0.587101936340332,26,24,32,41,53
0.6087431907653809,25,26,39,41,53
0.6295821666717529,24,25,37,42,53
0.6509099006652832,24,31,42,42,53
0.6722538471221924,24,30,52,42,53
0.6933948993682861,23,33,50,41,53
0.7147362232208252,23,36,56,42,53
0.7360410690307617,23,35,51,43,53
0.7573039531707764,23,35,46,43,53
0.778637170791626,23,34,43,44,53
0.7996890544891357,23,35,39,44,53
0.8215980529785156,23,38,39,44,53
0.8424198627471924,23,38,42,45,53
0.8637371063232422,23,41,51,44,53
0.8848409652709961,23,39,52,43,53
0.9061381816864014,23,40,48,43,53
0.9275209903717041,23,36,40,43,53
0.9486839771270752,23,35,34,44,53
0.9698679447174072,23,35,30,43,53
0.9911019802093506,23,33,29,43,53
1.0125820636749268,23,32,27,42,53
1.0338671207427979,23,30,28,44,53
1.0552289485931396,23,27,26,46,53
1.0762858390808105,23,26,42,46,53
1.0972919464111328,24,29,76,49,53
1.1185259819030762,24,30,86,48,53
1.1401350498199463,24,28,71,47,53
1.1613540649414062,23,32,55,46,53
1.182633876800537,23,32,43,46,53
1.2037479877471924,23,32,38,44,53
1.2251670360565186,23,32,32,44,53
1.246377944946289,23,32,33,43,53
1.2677290439605713,23,41,47,43,53
1.288945198059082,23,39,39,43,53
1.3100690841674805,23,35,36,42,53
1.3314599990844727,24,35,36,42,53
1.352607011795044,23,31,34,42,53
1.3739819526672363,23,29,31,43,53
1.395301103591919,23,28,28,47,53
1.4165570735931396,23,27,30,52,53
1.4378092288970947,23,30,27,52,53
1.4591381549835205,24,32,37,51,53
1.480355978012085,23,31,35,49,53
1.501708984375,23,30,34,51,53
1.5227539539337158,23,31,29,51,53
1.5442180633544922,23,29,26,50,53
1.5653259754180908,23,28,27,46,53
1.5867371559143066,23,28,29,45,53
1.6082520484924316,23,29,41,46,53
1.6292409896850586,23,29,58,46,53
1.650468111038208,23,32,66,45,53
1.6717100143432617,23,31,53,45,53
1.693061113357544,23,29,49,43,53
1.7144010066986084,23,32,48,45,53
1.7354412078857422,24,30,52,44,53
1.7568011283874512,24,34,50,43,53
1.7780921459197998,23,36,67,44,53
1.799307107925415,24,37,58,44,53
1.8205082416534424,23,42,53,43,53
1.841953992843628,23,38,55,43,53
1.8632969856262207,23,33,42,42,53
1.8843109607696533,23,29,35,43,53
1.905681848526001,23,28,31,44,53
1.9269890785217285,23,31,30,45,53
1.9480929374694824,23,29,33,44,53
1.9693748950958252,23,28,49,43,53
1.990678071975708,23,27,39,44,53
2.011928081512451,23,28,33,44,53
2.0330660343170166,23,29,36,44,53
2.0543999671936035,23,29,30,43,53
2.0757510662078857,23,29,31,43,53
2.096895933151245,23,29,28,44,53
2.1182310581207275,23,32,29,47,53
2.1393821239471436,23,34,31,46,53
2.1607542037963867,23,42,34,47,53
2.1818742752075195,23,46,40,46,53
2.203235149383545,24,62,87,47,53
2.224771022796631,28,131,128,50,53
2.246088981628418,27,145,124,49,53
2.2672319412231445,26,138,96,50,53
2.288572072982788,25,130,78,48,53
2.3099260330200195,25,99,64,47,53
2.3310940265655518,24,77,53,45,53
2.3526158332824707,24,58,41,44,53
2.373873233795166,24,50,37,45,53
2.394705057144165,23,57,35,45,53
2.4162681102752686,24,54,32,48,53
2.4374470710754395,23,52,28,46,53
2.458743095397949,23,45,35,45,53
2.4800639152526855,23,58,72,49,53
2.501242160797119,23,54,90,49,53
2.5225541591644287,24,52,71,49,53
2.5437519550323486,23,47,67,50,53
2.5650479793548584,24,57,59,50,53
2.586261034011841,23,55,48,53,53
2.607525110244751,24,55,41,52,53
2.628917932510376,23,53,36,52,53
2.650146007537842,24,46,36,52,53
2.671495199203491,24,56,34,50,53
2.692811965942383,24,61,34,50,53
2.7138848304748535,23,82,35,53,53
2.735337018966675,24,88,36,53,53
2.7564001083374023,24,89,39,59,53
2.777683973312378,24,80,42,59,53
2.7990059852600098,24,89,40,58,53
2.8202381134033203,24,93,45,54,53
2.841395854949951,24,91,38,53,53
2.8627021312713623,24,97,44,53,53
2.8840551376342773,24,83,42,57,53
2.905236005783081,24,76,36,55,53
2.9266140460968018,24,68,35,53,53
2.947665214538574,23,72,36,50,53
2.9690659046173096,23,63,36,50,53
2.99043607711792,23,64,42,47,53
3.0115389823913574,23,53,38,46,53
3.032870054244995,23,47,42,47,53
3.0540730953216553,23,46,46,45,53
3.0754029750823975,23,47,57,45,53
3.096529960632324,23,47,49,45,53
3.1179099082946777,23,43,48,45,53
3.1392171382904053,24,40,41,46,53
3.16041898727417,24,56,34,45,53
3.1816911697387695,23,53,33,45,53
3.2029502391815186,23,51,29,43,53
3.22412109375,23,45,27,43,53
3.2455689907073975,23,38,39,42,53
3.2667782306671143,23,34,36,44,53
3.288114070892334,23,31,36,45,53
3.309169054031372,23,28,31,44,53
3.330594062805176,23,28,32,44,53
3.351902961730957,23,28,27,43,53
3.3730521202087402,23,29,31,43,53
3.394355058670044,23,37,30,43,53
3.4155490398406982,23,34,30,43,53
3.43689227104187,23,31,27,44,53
3.4582509994506836,23,28,27,43,53
3.4794108867645264,23,26,28,43,53
3.5007832050323486,23,26,26,42,53
3.521846055984497,23,25,30,43,53
3.5432181358337402,23,26,26,43,53
3.5644569396972656,23,28,26,42,53
3.58575701713562,23,28,27,42,53
3.607057809829712,23,26,27,42,53
3.6282312870025635,23,25,25,42,53
3.6495490074157715,23,26,24,42,53
3.670767068862915,23,26,23,42,53
3.69201397895813,23,25,24,42,53
3.7133822441101074,23,25,24,43,53
3.734529972076416,23,25,28,42,53
3.7558882236480713,23,25,30,42,53
3.777095079421997,23,26,32,43,53
3.798409938812256,24,26,31,44,53
3.8195791244506836,23,25,29,44,53
3.8411409854888916,23,25,28,44,53
3.8622310161590576,23,25,27,45,53
3.8833370208740234,23,25,27,45,53
3.904694080352783,23,25,34,44,53
3.925830125808716,23,25,33,44,53
3.9471919536590576,23,24,29,43,53
3.968703031539917,23,24,26,43,53
3.9895951747894287,23,26,30,42,53
4.011196851730347,23,26,27,42,53
4.032187223434448,23,25,25,42,53
4.053483963012695,23,24,27,42,53
4.074850082397461,23,24,27,42,53
4.096038103103638,23,23,25,42,53
4.1173622608184814,23,24,26,42,53
4.138495922088623,23,24,24,42,53
4.159943103790283,23,24,22,42,53
4.181031942367554,23,24,25,42,53
4.202354907989502,23,24,23,42,53
4.22367525100708,23,24,23,42,53
4.2448508739471436,23,23,24,42,53
4.2661590576171875,23,23,23,42,53
4.287375211715698,23,24,23,42,53
4.3086700439453125,23,24,22,42,53
4.33001708984375,23,23,21,42,53
4.351184129714966,23,24,23,42,53
4.372485160827637,23,24,24,42,53
4.393702030181885,23,24,23,42,53
4.4150230884552,23,23,28,42,53
4.436302185058594,23,24,27,42,53
4.45757794380188,23,24,25,42,53
4.478992223739624,23,24,28,42,53
4.500056982040405,23,24,26,43,53
4.521294116973877,23,24,28,42,53
4.542522192001343,23,24,28,42,53
4.563817977905273,23,24,25,42,53
4.585167169570923,24,24,26,42,53
4.606327056884766,23,24,27,42,53
4.627662181854248,23,25,25,42,53
4.648833990097046,23,24,25,42,53
4.670176982879639,23,24,26,42,53
4.691473960876465,24,23,30,42,53
4.712687015533447,23,23,29,42,53
4.733986139297485,23,23,29,42,53
4.75515604019165,23,23,36,42,53
4.776509046554565,23,24,33,42,53
4.797659158706665,23,24,30,42,53
4.818985939025879,23,23,31,42,53
4.8402931690216064,23,24,29,42,53
4.861301898956299,24,24,31,42,53
4.88283896446228,27,24,32,42,53
4.904036045074463,28,24,29,42,53
4.925367116928101,26,24,27,42,53
4.946660041809082,25,24,29,41,53
4.967977046966553,24,24,26,41,53
4.9891839027404785,24,24,26,41,53
5.010325908660889,24,24,24,41,53
