Time (s),Temporalis,Buccinator,Suprahyoid,Massater,Trial
0.0014777183532714844,23,23,19,42,82
0.0021419525146484375,23,23,20,42,82
0.0025148391723632812,23,23,20,42,82
0.0028867721557617188,23,23,20,42,82
0.0032639503479003906,23,23,19,42,82
0.0036559104919433594,26,23,20,41,82
0.0040318965911865234,27,23,20,41,82
0.004400730133056641,26,23,20,41,82
0.0047397613525390625,25,23,20,41,82
0.005045890808105469,24,23,19,42,82
0.0053517818450927734,24,23,20,42,82
0.005658864974975586,24,23,20,42,82
0.005964040756225586,24,23,20,42,82
0.006273031234741211,23,23,19,42,82
0.006783962249755859,23,23,20,42,82
0.007206916809082031,23,23,19,42,82
0.007628679275512695,23,22,19,42,82
0.008041858673095703,23,23,19,42,82
0.008456945419311523,23,23,20,42,82
0.00878000259399414,23,23,20,42,82
0.009116888046264648,23,22,20,42,82
0.009439945220947266,23,23,20,42,82
0.009759902954101562,23,22,20,43,82
0.01009368896484375,29,23,19,45,82
0.010420799255371094,30,24,19,46,82
0.010751008987426758,27,23,20,44,82
0.011073827743530273,26,23,19,43,82
0.011401891708374023,25,23,20,43,82
0.011725664138793945,24,23,20,42,82
0.012048721313476562,24,23,19,42,82
0.012398719787597656,24,23,19,42,82
0.012721776962280273,23,23,20,42,82
0.013063907623291016,23,23,20,42,82
0.013384819030761719,23,23,20,42,82
0.013704776763916016,23,23,20,42,82
0.014042854309082031,23,23,19,42,82
0.014391660690307617,23,23,19,42,82
0.014726877212524414,23,22,19,42,82
0.015047788619995117,23,22,19,42,82
0.015372753143310547,23,22,19,42,82
0.015695810317993164,23,22,19,42,82
0.016023635864257812,23,22,19,42,82
0.016345739364624023,23,22,19,42,82
0.016666889190673828,23,23,19,42,82
0.016989946365356445,23,22,20,42,82
0.017313718795776367,23,23,20,42,82
0.017635822296142578,23,23,20,42,82
0.01795673370361328,23,23,21,42,82
0.018292903900146484,23,22,21,42,82
0.018558979034423828,23,23,20,41,82
0.018822908401489258,23,22,20,42,82
0.019086837768554688,23,22,20,42,82
0.01935267448425293,23,22,19,42,82
0.03960394859313965,23,23,19,42,82
0.061064958572387695,23,22,19,41,82
0.08229780197143555,23,23,19,42,82
0.10363578796386719,23,23,19,42,82
0.12486386299133301,23,23,19,42,82
0.14592266082763672,23,22,19,42,82
0.16730594635009766,23,22,19,42,82
0.18876886367797852,23,23,19,42,82
0.21000289916992188,23,23,19,42,82
0.23124289512634277,24,23,19,42,82
0.25243687629699707,27,23,20,41,82
0.2736508846282959,28,23,20,41,82
0.29517483711242676,26,23,21,41,82
0.31636881828308105,25,22,21,41,82
0.337479829788208,24,23,21,42,82
0.3587949275970459,24,23,20,42,82
0.3800499439239502,24,23,24,42,82
0.40128469467163086,23,23,23,41,82
0.4226047992706299,23,23,21,42,82
0.44380974769592285,23,23,21,42,82
0.46511101722717285,23,22,21,42,82
0.4864778518676758,23,23,21,41,82
0.5076098442077637,23,23,23,42,82
0.5290648937225342,23,23,22,43,82
0.550116777420044,23,23,22,42,82
0.57138991355896,23,23,21,43,82
0.592836856842041,23,23,20,42,82
0.6140296459197998,23,25,35,46,82
0.6353838443756104,23,25,46,46,82
0.6564488410949707,23,29,54,47,82
0.6778438091278076,23,27,56,47,82
0.6988658905029297,23,28,54,46,82
0.7201826572418213,23,28,44,48,82
0.7415578365325928,23,27,40,45,82
0.7627027034759521,23,26,39,47,82
0.7840368747711182,23,26,36,46,82
0.8052327632904053,23,26,34,48,82
0.8265247344970703,23,26,30,47,82
0.8478999137878418,24,29,43,47,82
0.8690519332885742,24,30,55,45,82
0.8903188705444336,24,29,59,45,82
0.9115309715270996,23,27,49,44,82
0.9328489303588867,23,26,57,43,82
0.9541997909545898,23,28,57,43,82
0.9754018783569336,23,28,56,42,82
0.9967057704925537,23,26,63,43,82
1.0179216861724854,23,30,57,43,82
1.039186954498291,23,31,46,44,82
1.0604159832000732,23,32,42,44,82
1.081711769104004,23,31,40,43,82
1.103010654449463,23,30,45,43,82
1.1242046356201172,23,27,64,44,82
1.1455438137054443,23,28,96,45,82
1.1667118072509766,23,30,71,46,82
1.188004732131958,23,31,59,47,82
1.2093377113342285,23,36,69,46,82
1.230557918548584,23,48,58,45,82
1.2518389225006104,23,54,60,44,82
1.2730188369750977,23,58,78,46,82
1.2943239212036133,23,63,117,47,82
1.3156638145446777,23,62,92,45,82
1.3368656635284424,23,53,78,44,82
1.3581550121307373,23,50,70,44,82
1.3795678615570068,23,42,53,44,82
1.400629997253418,23,38,43,43,82
1.4220349788665771,23,34,37,42,82
1.443147897720337,24,30,31,42,82
1.464486837387085,23,28,31,42,82
1.4856877326965332,23,26,31,44,82
1.5069787502288818,23,26,28,44,82
1.5283498764038086,23,25,24,43,82
1.5497279167175293,23,27,22,43,82
1.5709550380706787,23,26,21,43,82
1.5917670726776123,23,27,25,43,82
1.6132936477661133,23,28,24,44,82
1.6347577571868896,23,35,25,44,82
1.6558518409729004,23,42,25,45,82
1.6771657466888428,23,48,25,44,82
1.698319911956787,23,53,25,43,82
1.7196497917175293,23,51,43,44,82
1.7408409118652344,23,52,68,44,82
1.7621886730194092,23,46,70,45,82
1.7835698127746582,24,44,126,47,82
1.8048887252807617,24,50,136,52,82
1.8260698318481445,24,54,113,53,82
1.8474669456481934,24,63,109,52,82
1.8689358234405518,23,68,89,51,82
1.8899037837982178,23,63,75,50,82
1.9113247394561768,23,52,66,47,82
1.9325168132781982,23,62,61,45,82
1.9539437294006348,23,53,48,44,82
1.9750289916992188,23,46,42,43,82
1.9964268207550049,23,42,35,43,82
2.017615795135498,23,38,34,43,82
2.038848876953125,23,35,30,43,82
2.0601847171783447,23,32,28,42,82
2.0813708305358887,23,31,30,43,82
2.102750778198242,23,30,35,43,82
2.1238577365875244,23,34,36,44,82
2.1452889442443848,23,33,32,45,82
2.166316032409668,27,30,35,44,82
2.187680959701538,36,28,33,44,82
2.2090187072753906,38,36,30,45,82
2.2301340103149414,34,40,29,49,82
2.2515006065368652,31,38,38,59,82
2.272610664367676,29,51,44,58,82
2.2939748764038086,30,64,45,58,82
2.3151869773864746,31,55,40,53,82
2.3364999294281006,33,58,38,55,82
2.3578250408172607,32,81,34,50,82
2.378957748413086,31,98,33,50,82
2.4003047943115234,29,83,32,51,82
2.4215657711029053,29,94,29,51,82
2.4426827430725098,42,142,34,60,82
2.464172840118408,47,142,35,72,82
2.4855098724365234,76,171,52,91,82
2.5068318843841553,67,216,57,89,82
2.528322696685791,106,277,66,94,82
2.549548625946045,75,224,62,81,82
2.5708847045898438,55,192,49,71,82
2.592172622680664,44,154,47,60,82
2.613489866256714,36,124,41,54,82
2.634906768798828,32,108,35,49,82
2.656054735183716,28,83,38,47,82
2.6773247718811035,27,73,48,45,82
2.6984777450561523,25,60,39,44,82
2.719787836074829,24,56,35,44,82
2.7412078380584717,24,50,35,46,82
2.762333869934082,24,47,32,48,82
2.7836506366729736,24,44,31,47,82
2.8048157691955566,24,40,32,46,82
2.8261938095092773,23,36,43,45,82
2.847294807434082,23,37,36,46,82
2.868666887283325,23,37,40,45,82
2.8900017738342285,24,39,41,45,82
2.911127805709839,23,40,43,45,82
2.9323508739471436,24,49,55,46,82
2.9537248611450195,25,44,45,48,82
2.9749560356140137,25,54,46,50,82
2.996311664581299,27,66,43,51,82
3.017465829849243,26,81,37,59,82
3.0388598442077637,27,99,37,56,82
3.059985876083374,26,91,41,52,82
3.081347703933716,25,89,44,49,82
3.102651834487915,24,68,43,46,82
3.1238157749176025,24,57,42,46,82
3.145256996154785,24,60,43,48,82
3.1663968563079834,24,55,47,50,82
3.18774676322937,23,48,46,51,82
3.20900297164917,23,43,49,50,82
3.2301456928253174,23,39,46,47,82
3.2514679431915283,23,51,42,46,82
3.2726316452026367,23,50,38,45,82
3.293968915939331,24,63,38,44,82
3.3152987957000732,24,64,51,45,82
3.3364598751068115,24,73,43,43,82
3.3578040599823,24,56,38,43,82
3.3791229724884033,23,49,33,44,82
3.4002907276153564,23,40,34,46,82
3.421480894088745,23,37,48,48,82
3.4427967071533203,23,44,60,47,82
3.4641778469085693,23,57,59,48,82
3.485316753387451,23,62,53,49,82
3.506490707397461,23,60,50,48,82
3.5278189182281494,23,53,46,46,82
3.549098014831543,23,47,71,45,82
3.570452928543091,23,43,87,47,82
3.591606616973877,23,44,86,46,82
3.6129186153411865,23,48,91,45,82
3.6342437267303467,24,52,92,47,82
3.655486822128296,24,63,91,46,82
3.676769733428955,24,66,104,46,82
3.697990894317627,24,71,94,45,82
3.7192678451538086,24,67,70,48,82
3.7406368255615234,23,63,54,48,82
3.761788845062256,23,49,43,46,82
3.7831227779388428,23,40,36,45,82
3.804287910461426,24,34,31,48,82
3.8256428241729736,26,32,30,47,82
3.8469769954681396,26,35,34,45,82
3.868140697479248,25,34,37,44,82
3.889443874359131,24,32,42,43,82
3.910620927810669,24,32,36,42,82
3.9317879676818848,24,35,32,42,82
3.9533188343048096,24,40,29,42,82
3.974440813064575,23,36,29,42,82
3.9955809116363525,24,35,32,42,82
4.016844034194946,24,33,29,42,82
4.0381388664245605,23,31,29,42,82
4.059412956237793,23,28,30,42,82
4.080712795257568,23,29,33,43,82
4.102041721343994,23,27,30,42,82
4.123067855834961,23,30,33,42,82
4.144571781158447,23,29,30,42,82
4.1657469272613525,23,28,32,43,82
4.187099933624268,23,30,29,43,82
4.208395004272461,23,28,27,42,82
4.229559659957886,23,29,30,43,82
4.2509987354278564,23,27,36,43,82
4.271960735321045,23,27,34,44,82
4.2934746742248535,23,32,39,43,82
4.314756870269775,23,31,41,42,82
4.335963726043701,23,30,34,42,82
4.3572678565979,24,27,34,42,82
4.378423690795898,23,27,34,42,82
4.399780750274658,23,26,35,42,82
4.420968770980835,23,26,32,42,82
4.4422547817230225,24,26,29,42,82
4.463596820831299,23,26,29,42,82
4.484918594360352,24,26,28,42,82
4.506080865859985,23,26,30,42,82
4.527087688446045,23,25,34,44,82
4.548647880554199,23,24,41,43,82
4.569912672042847,23,24,40,42,82
4.591110944747925,23,25,43,42,82
4.61250376701355,23,25,41,42,82
4.6338417530059814,23,28,36,42,82
4.654936790466309,23,27,38,42,82
4.6760969161987305,24,29,36,42,82
4.697438955307007,23,31,35,42,82
4.718585729598999,23,30,36,42,82
4.739965915679932,23,30,33,42,82
4.76130485534668,23,34,33,42,82
4.782441854476929,23,31,33,42,82
4.80380392074585,23,28,29,42,82
4.825095891952515,23,27,29,42,82
4.846268892288208,23,27,28,42,82
4.867609739303589,23,27,27,42,82
4.888834714889526,24,27,30,42,82
4.910137891769409,23,26,31,42,82
4.931429862976074,23,26,28,42,82
4.952599763870239,23,25,28,42,82
4.973881721496582,23,25,25,42,82
4.995060920715332,23,24,26,42,82
5.016441822052002,23,24,30,42,82
