Time (s),Temporalis,Buccinator,Suprahyoid,Massater,Trial
0.0006339550018310547,23,23,21,42,97
0.0009930133819580078,23,23,20,42,97
0.0013020038604736328,23,23,20,42,97
0.00160980224609375,23,23,20,42,97
0.0019168853759765625,23,23,20,44,97
0.002225160598754883,23,23,20,44,97
0.0026569366455078125,23,24,23,44,97
0.0029649734497070312,23,28,24,44,97
0.0033159255981445312,23,27,27,44,97
0.021203994750976562,23,27,28,44,97
0.042243003845214844,23,28,26,44,97
0.06371283531188965,23,28,27,44,97
0.08488011360168457,23,28,29,44,97
0.1060340404510498,23,28,29,45,97
0.1274709701538086,23,28,26,46,97
0.14898204803466797,23,27,28,47,97
0.16998696327209473,23,26,32,45,97
0.19101786613464355,23,25,50,44,97
0.21242594718933105,23,25,66,45,97
0.23378396034240723,23,26,60,44,97
0.25495290756225586,23,26,49,43,97
0.2762868404388428,23,25,41,43,97
0.2974388599395752,23,24,34,43,97
0.3187870979309082,23,24,28,43,97
0.34021496772766113,23,23,27,43,97
0.36132097244262695,23,26,28,46,97
0.3827250003814697,23,31,26,46,97
0.4039499759674072,24,43,32,48,97
0.425203800201416,23,46,36,47,97
0.44629693031311035,24,41,33,47,97
0.4676368236541748,23,41,31,45,97
0.4889488220214844,23,38,42,44,97
0.5101358890533447,23,34,49,45,97
0.5314438343048096,23,32,60,45,97
0.5525999069213867,23,34,98,49,97
0.573983907699585,23,47,102,48,97
0.5953781604766846,23,46,83,47,97
0.6166298389434814,23,37,59,45,97
0.6377639770507812,23,33,45,44,97
0.6588399410247803,23,33,37,46,97
0.680290937423706,23,34,32,46,97
0.7015700340270996,23,34,32,49,97
0.7227919101715088,23,36,31,53,97
0.7441740036010742,23,34,27,53,97
0.7652268409729004,23,31,30,51,97
0.7868120670318604,23,30,38,52,97
0.8080790042877197,23,32,57,50,97
0.829042911529541,23,30,51,47,97
0.8505630493164062,23,29,63,45,97
0.871628999710083,23,32,55,44,97
0.8929808139801025,23,31,52,43,97
0.9143950939178467,23,31,61,43,97
0.9353320598602295,25,31,88,45,97
0.9566550254821777,26,32,104,45,97
0.978179931640625,25,36,114,44,97
0.9994950294494629,24,39,125,43,97
1.0210258960723877,24,37,103,44,97
1.0421948432922363,24,33,83,43,97
1.063410758972168,24,32,61,43,97
1.0846400260925293,24,34,58,43,97
1.1058549880981445,23,35,53,43,97
1.1273131370544434,24,41,52,46,97
1.1483819484710693,24,56,56,46,97
1.1697919368743896,24,51,48,47,97
1.1911559104919434,24,61,49,49,97
1.2123470306396484,23,52,42,50,97
1.23350191116333,24,53,38,50,97
1.2547681331634521,23,47,38,48,97
1.276120901107788,23,42,43,47,97
1.297191858291626,23,37,35,46,97
1.3185200691223145,23,33,35,48,97
1.3400330543518066,23,31,34,54,97
1.3610191345214844,23,32,35,50,97
1.382239818572998,23,33,32,47,97
1.40342116355896,23,30,35,46,97
1.424793004989624,23,30,35,45,97
1.4460489749908447,23,30,36,44,97
1.467538833618164,23,29,39,44,97
1.488774061203003,23,29,40,43,97
1.5098059177398682,23,30,43,43,97
1.5312271118164062,23,31,42,49,97
1.5525898933410645,23,40,54,50,97
1.5735228061676025,23,40,54,49,97
1.595240831375122,23,39,48,47,97
1.616257905960083,23,39,42,46,97
1.6374177932739258,24,46,37,46,97
1.6586658954620361,24,38,33,48,97
1.68007493019104,24,33,30,47,97
1.701258897781372,24,31,33,46,97
1.7224409580230713,24,29,31,45,97
1.7438199520111084,24,29,30,45,97
1.7649099826812744,24,35,29,45,97
1.7862598896026611,24,32,27,44,97
1.8074028491973877,23,31,27,45,97
1.828761100769043,23,28,32,44,97
1.8500549793243408,23,27,30,43,97
1.8712329864501953,23,26,26,44,97
1.8926408290863037,23,28,26,44,97
1.9137089252471924,23,27,26,46,97
1.9351201057434082,23,29,29,46,97
1.9564478397369385,23,36,28,48,97
1.977613925933838,23,39,26,49,97
1.9989848136901855,23,39,28,52,97
2.0200071334838867,23,39,32,53,97
2.041424036026001,23,40,35,49,97
2.062962770462036,23,51,34,47,97
2.084172010421753,23,53,31,45,97
2.1052048206329346,24,50,40,45,97
2.1267008781433105,25,43,61,45,97
2.1479709148406982,25,36,55,45,97
2.1691172122955322,24,35,51,45,97
2.190364122390747,24,45,57,45,97
2.211655855178833,24,54,48,45,97
2.2328617572784424,24,51,40,44,97
2.254145860671997,23,43,35,45,97
2.275390863418579,23,42,31,46,97
2.296663999557495,23,38,35,47,97
2.3180110454559326,23,35,35,46,97
2.3391358852386475,23,34,39,45,97
2.3605990409851074,23,32,44,45,97
2.381610870361328,23,44,42,46,97
2.4030089378356934,23,40,49,46,97
2.424237012863159,23,39,54,47,97
2.4456801414489746,25,36,65,46,97
2.4667770862579346,25,41,61,48,97
2.487985134124756,26,50,82,47,97
2.5094680786132812,25,45,87,48,97
