Time (s),Temporalis,Buccinator,Suprahyoid,Massater,Trial
0.0007669925689697266,23,28,27,46,10
0.001094818115234375,23,29,27,52,10
0.0014019012451171875,25,28,25,52,10
0.0017077922821044922,28,27,24,48,10
0.0020177364349365234,27,26,24,48,10
0.0023250579833984375,26,31,24,45,10
0.0026340484619140625,25,32,25,44,10
0.0029687881469726562,24,30,24,45,10
0.003281831741333008,24,28,23,44,10
0.003596782684326172,23,26,23,43,10
0.003936767578125,23,25,28,43,10
0.004252910614013672,23,24,28,43,10
0.004560947418212891,23,24,28,42,10
0.004919767379760742,23,24,30,42,10
0.0052297115325927734,23,25,28,42,10
0.005536794662475586,23,25,34,43,10
0.0058460235595703125,23,24,32,43,10
0.006150960922241211,23,25,31,42,10
0.006491899490356445,23,26,27,42,10
0.006724834442138672,23,25,28,43,10
0.006953001022338867,23,25,36,42,10
0.007180690765380859,23,24,31,42,10
0.007406711578369141,23,23,28,42,10
0.007634878158569336,23,23,26,42,10
0.007861614227294922,23,23,29,42,10
0.008090734481811523,23,23,25,43,10
0.008318901062011719,23,23,24,42,10
0.008546829223632812,23,23,24,42,10
0.0087738037109375,23,23,27,42,10
0.009001016616821289,23,23,25,42,10
0.00922703742980957,23,22,24,42,10
0.00945281982421875,23,23,25,42,10
0.009679794311523438,23,23,24,42,10
0.029303789138793945,23,23,23,42,10
0.050734758377075195,23,23,22,43,10
0.07206296920776367,23,23,22,43,10
0.09305381774902344,23,23,23,42,10
0.11456990242004395,23,23,24,42,10
0.13564181327819824,23,23,24,42,10
0.15707874298095703,23,23,25,42,10
0.17893099784851074,23,23,26,42,10
0.19948291778564453,23,23,25,42,10
0.2209186553955078,23,23,23,42,10
0.2420659065246582,23,23,23,42,10
0.263225793838501,23,25,30,42,10
0.284503698348999,23,26,26,42,10
0.3060128688812256,23,31,27,42,10
0.32731175422668457,23,38,33,44,10
0.34856390953063965,23,37,49,44,10
0.3697319030761719,23,42,39,46,10
0.39092206954956055,27,38,38,45,10
0.4123258590698242,27,34,39,44,10
0.43370699882507324,27,31,38,45,10
0.4548048973083496,29,29,50,45,10
0.4760730266571045,30,31,55,45,10
0.4971768856048584,30,32,59,45,10
0.5186476707458496,27,30,58,44,10
0.5398399829864502,26,27,52,43,10
0.560950756072998,25,26,45,43,10
0.5823428630828857,24,27,36,42,10
0.6035027503967285,24,26,40,45,10
0.6247868537902832,24,25,33,43,10
0.6461236476898193,23,25,36,45,10
0.6674628257751465,23,29,34,44,10
0.6885738372802734,23,31,33,47,10
0.7096619606018066,23,36,42,51,10
0.7312986850738525,23,43,135,52,10
0.7526218891143799,23,42,143,53,10
0.7738878726959229,23,38,177,54,10
0.7951948642730713,23,36,151,53,10
0.8165798187255859,23,31,128,49,10
0.8379368782043457,23,30,113,47,10
0.8592288494110107,23,30,85,46,10
0.8804349899291992,23,31,62,44,10
0.9016127586364746,23,34,53,47,10
0.9229168891906738,23,46,53,46,10
0.9442827701568604,23,48,50,47,10
0.965451717376709,23,42,41,50,10
0.9866349697113037,23,55,41,48,10
1.0078437328338623,23,44,42,46,10
1.0291328430175781,23,38,65,45,10
1.050611972808838,23,32,101,44,10
1.0716707706451416,23,29,98,44,10
1.0930156707763672,23,27,94,44,10
1.1143198013305664,23,27,74,44,10
