Time (s),Temporalis,Buccinator,Suprahyoid,Massater,Trial
0.008293867111206055,26,23,19,42,54
0.01023101806640625,26,23,20,42,54
0.02727198600769043,25,23,20,41,54
0.027369022369384766,25,23,19,42,54
0.027518033981323242,25,23,19,42,54
0.03330683708190918,25,23,20,42,54
0.03924083709716797,24,23,20,42,54
0.04518890380859375,24,23,20,42,54
0.05121493339538574,24,23,21,42,54
0.0569920539855957,24,23,20,42,54
0.06300687789916992,24,23,20,42,54
0.06900691986083984,24,23,20,42,54
0.07516694068908691,24,22,20,42,54
0.0808568000793457,24,22,20,42,54
0.08681988716125488,24,23,20,42,54
0.09285569190979004,23,23,20,42,54
0.09880304336547852,24,23,21,42,54
0.10469889640808105,24,23,20,42,54
0.11071491241455078,23,23,20,42,54
0.11677289009094238,23,23,20,42,54
0.1224660873413086,23,23,21,42,54
0.12826991081237793,23,22,21,42,54
0.1342620849609375,23,22,21,42,54
0.1401968002319336,23,22,21,42,54
0.1462109088897705,23,23,20,42,54
0.15199899673461914,23,23,20,42,54
0.15865874290466309,23,22,20,42,54
0.16417193412780762,23,23,20,42,54
0.17002391815185547,23,22,20,42,54
0.1758270263671875,23,22,20,42,54
0.18189501762390137,23,22,21,42,54
0.1878058910369873,23,23,21,42,54
0.1950538158416748,23,23,21,42,54
0.1995227336883545,23,23,22,42,54
0.20554590225219727,23,22,22,42,54
0.21180295944213867,23,23,21,42,54
0.21728110313415527,23,23,21,42,54
0.22364401817321777,23,23,21,42,54
0.22923803329467773,23,23,21,42,54
0.23522472381591797,23,23,20,42,54
0.2409968376159668,23,23,20,42,54
0.2470090389251709,23,23,20,42,54
0.25284409523010254,23,23,20,42,54
0.2589099407196045,23,23,20,42,54
0.2647428512573242,23,23,20,42,54
0.27075695991516113,23,23,20,42,54
0.27660298347473145,23,23,20,42,54
0.28279614448547363,23,23,21,42,54
0.2883789539337158,23,23,21,42,54
0.294421911239624,23,23,20,42,54
0.30037403106689453,23,22,21,42,54
0.30632877349853516,23,23,21,43,54
0.3121500015258789,23,22,21,43,54
0.31809091567993164,23,23,23,42,54
0.3241159915924072,23,22,23,42,54
0.33007097244262695,23,22,23,42,54
0.33593297004699707,23,23,23,42,54
0.3419647216796875,23,23,23,42,54
0.34787797927856445,23,23,23,43,54
0.35381197929382324,23,23,24,42,54
0.35959696769714355,23,23,24,43,54
0.36548590660095215,23,23,24,42,54
0.3715047836303711,23,23,24,42,54
0.3774688243865967,23,23,24,42,54
0.38324689865112305,23,23,24,42,54
0.38922810554504395,23,23,25,42,54
0.3951869010925293,23,23,24,42,54
0.4011728763580322,23,23,24,42,54
0.40699195861816406,23,23,26,42,54
0.41292691230773926,23,23,30,42,54
0.41880297660827637,23,23,31,42,54
0.4247448444366455,23,23,29,42,54
0.4307069778442383,23,23,28,42,54
