Time (s),Temporalis,Buccinator,Suprahyoid,Massater,Trial
0.0006198883056640625,24,23,21,42,4
0.0010590553283691406,23,23,20,42,4
0.0013880729675292969,23,22,21,42,4
0.0017409324645996094,23,23,20,42,4
0.0020520687103271484,23,23,21,42,4
0.0023920536041259766,23,23,22,42,4
0.002775907516479492,23,23,21,42,4
0.0031480789184570312,23,22,21,42,4
0.003531932830810547,23,23,22,45,4
0.003905057907104492,23,23,22,44,4
0.004274129867553711,23,23,21,44,4
0.004584074020385742,23,23,22,45,4
0.004892110824584961,23,23,22,45,4
0.005365848541259766,23,23,23,44,4
0.005955934524536133,23,23,21,43,4
0.006493806838989258,23,23,21,42,4
0.006932973861694336,23,23,21,42,4
0.007349967956542969,23,23,20,42,4
0.007773876190185547,23,22,21,42,4
0.008183002471923828,23,23,20,42,4
0.008513927459716797,23,23,20,42,4
0.008838176727294922,23,23,23,42,4
0.009168148040771484,23,23,22,42,4
0.00950002670288086,23,22,21,42,4
0.009824037551879883,24,22,21,42,4
0.010154008865356445,32,23,21,42,4
0.010484933853149414,38,23,20,41,4
0.010812044143676758,35,23,21,41,4
0.01114201545715332,31,23,21,41,4
0.01146697998046875,31,23,20,41,4
0.01179194450378418,30,23,21,42,4
0.01211404800415039,28,23,21,41,4
0.012450933456420898,26,23,20,41,4
0.01277303695678711,25,23,21,41,4
0.013096809387207031,24,23,21,42,4
0.013419866561889648,24,23,21,41,4
0.013742923736572266,24,23,21,42,4
0.014066219329833984,24,23,23,41,4
0.0143890380859375,23,22,21,41,4
0.01471090316772461,23,23,21,41,4
0.015038251876831055,23,22,20,41,4
0.015362977981567383,23,22,20,42,4
0.020959854125976562,23,23,23,42,4
0.04250907897949219,23,23,25,41,4
0.06372904777526855,23,23,25,41,4
0.08508586883544922,23,23,23,41,4
0.10646295547485352,23,22,22,42,4
0.12757587432861328,23,22,22,42,4
0.14863085746765137,23,22,22,42,4
0.16991901397705078,23,23,22,42,4
0.1917119026184082,23,22,22,42,4
0.2127211093902588,23,23,21,42,4
0.23383593559265137,23,23,22,42,4
0.25518298149108887,23,23,21,41,4
0.27640318870544434,23,23,21,42,4
0.2976648807525635,23,22,22,42,4
0.31885313987731934,23,23,21,42,4
0.34023380279541016,23,22,21,42,4
0.36157798767089844,23,23,21,42,4
0.3826930522918701,23,22,21,42,4
0.4041719436645508,23,23,21,42,4
0.4252889156341553,23,22,21,42,4
0.4464240074157715,23,22,25,42,4
0.4676342010498047,24,22,25,42,4
0.4889688491821289,23,23,27,42,4
0.510443925857544,23,22,26,42,4
0.5314559936523438,23,23,23,42,4
0.5528020858764648,23,23,23,42,4
0.5739359855651855,23,23,27,42,4
0.5952999591827393,23,23,27,41,4
0.6164898872375488,23,23,30,41,4
0.6377959251403809,23,23,27,41,4
0.6591148376464844,23,23,25,41,4
0.6803040504455566,23,24,24,43,4
0.7016510963439941,23,26,27,43,4
0.7230169773101807,23,26,25,43,4
0.7441890239715576,25,26,25,46,4
0.7655210494995117,31,27,25,49,4
0.7865850925445557,31,26,25,49,4
0.8081200122833252,28,25,26,47,4
0.8291430473327637,26,24,30,46,4
0.8504948616027832,25,24,33,47,4
0.8718430995941162,24,30,34,48,4
0.8929250240325928,24,34,37,48,4
0.9142649173736572,24,42,49,46,4
0.9355051517486572,24,46,46,44,4
