Time (s),Temporalis,Buccinator,Suprahyoid,Massater,Trial
0.0008969306945800781,24,22,20,42,91
0.0012128353118896484,27,23,20,42,91
0.0015180110931396484,27,23,20,41,91
0.0018320083618164062,25,23,19,41,91
0.0021419525146484375,25,23,19,42,91
0.0024499893188476562,24,23,19,42,91
0.0027589797973632812,24,22,19,41,91
0.0030641555786132812,24,22,19,41,91
0.003371000289916992,23,23,19,42,91
0.0037260055541992188,23,23,19,42,91
0.004040956497192383,23,22,19,42,91
0.004352092742919922,23,23,19,42,91
0.004661083221435547,23,23,19,42,91
0.0050067901611328125,23,23,19,42,91
0.005316019058227539,23,23,19,42,91
0.005624055862426758,23,22,19,42,91
0.005939006805419922,23,23,20,42,91
0.00625300407409668,23,22,19,42,91
0.006567955017089844,23,23,19,42,91
0.007108926773071289,23,23,19,42,91
0.00755000114440918,23,23,20,44,91
0.007981061935424805,23,24,20,43,91
0.008393049240112305,23,24,20,43,91
0.00879216194152832,23,24,21,43,91
0.009120941162109375,23,24,21,42,91
0.009452104568481445,23,24,22,42,91
0.009773015975952148,23,24,21,42,91
0.010092973709106445,23,24,21,42,91
0.010446786880493164,23,26,21,42,91
0.010768890380859375,23,26,21,42,91
0.011099815368652344,23,25,20,42,91
0.011421918869018555,23,24,20,42,91
0.011748790740966797,23,24,21,41,91
0.012071847915649414,23,24,21,42,91
0.012392044067382812,23,23,22,42,91
0.012737035751342773,23,23,21,42,91
0.01306009292602539,23,23,21,42,91
0.013390779495239258,23,23,20,42,91
0.013711929321289062,23,23,20,42,91
0.01404118537902832,23,23,20,42,91
0.014393091201782227,23,24,20,42,91
0.014719009399414062,24,24,21,42,91
0.015052080154418945,24,24,21,42,91
0.015374183654785156,25,24,20,42,91
0.0157167911529541,24,24,21,42,91
0.016037940979003906,25,24,21,43,91
0.01635885238647461,25,24,20,42,91
0.016688823699951172,26,24,20,42,91
0.017010927200317383,27,28,20,42,91
0.017340898513793945,27,29,20,42,91
0.017663955688476562,31,29,21,44,91
0.018053770065307617,30,28,21,48,91
0.018398046493530273,30,28,20,49,91
0.018698930740356445,35,27,20,48,91
0.018971920013427734,37,27,21,46,91
0.01923990249633789,35,26,22,44,91
0.019528865814208984,31,26,21,43,91
0.019833087921142578,29,25,20,43,91
0.020097017288208008,27,25,20,42,91
0.02038288116455078,26,25,20,42,91
0.02064681053161621,25,26,20,42,91
0.02092289924621582,25,27,21,41,91
0.021188020706176758,24,27,21,42,91
0.021458864212036133,24,26,20,42,91
0.02172708511352539,24,25,20,42,91
0.022005081176757812,24,25,20,42,91
0.02227306365966797,23,24,20,42,91
0.022536039352416992,24,24,21,41,91
0.02280402183532715,24,24,21,42,91
0.023068904876708984,24,24,21,42,91
0.023331880569458008,23,24,20,42,91
0.023599863052368164,24,24,21,42,91
0.02386307716369629,23,24,21,42,91
0.02413201332092285,24,23,21,42,91
0.02439594268798828,23,24,21,42,91
0.024665117263793945,24,23,20,42,91
0.024931907653808594,24,23,21,42,91
0.02519512176513672,24,23,21,42,91
0.02546405792236328,24,23,20,42,91
0.02572798728942871,24,23,21,42,91
0.025999784469604492,24,23,21,42,91
0.026263952255249023,24,23,21,42,91
0.026556015014648438,24,23,21,41,91
0.026834964752197266,24,23,20,41,91
0.0270998477935791,23,23,20,41,91
0.0273740291595459,23,23,21,41,91
0.027639150619506836,23,23,21,42,91
0.02791285514831543,23,23,21,42,91
0.02817678451538086,24,23,20,42,91
0.028441190719604492,24,23,21,42,91
0.02871084213256836,24,23,21,42,91
0.028974056243896484,23,23,20,42,91
0.029248952865600586,23,23,21,41,91
0.02951979637145996,23,23,21,41,91
0.029788970947265625,23,23,21,42,91
0.030052900314331055,23,23,21,43,91
0.030323028564453125,23,23,21,42,91
0.030590057373046875,23,22,21,42,91
0.030817031860351562,23,23,20,42,91
0.03105306625366211,23,23,20,43,91
0.031295061111450195,23,23,21,43,91
0.03152203559875488,23,23,20,42,91
0.03175711631774902,23,23,20,43,91
0.03198385238647461,23,23,20,43,91
0.03221893310546875,23,23,20,42,91
0.03244590759277344,23,23,20,42,91
0.03268003463745117,23,22,20,42,91
0.03290700912475586,23,22,20,42,91
0.033145904541015625,23,22,20,42,91
