Time (s),Temporalis,Buccinator,Suprahyoid,Massater
0.0015480518341064453,19,24,46,23
0.002218008041381836,19,24,45,23
0.0027341842651367188,19,24,44,23
0.0032320022583007812,19,24,44,23
0.017529010772705078,19,24,46,23
0.03892207145690918,19,24,46,23
0.06018710136413574,19,24,47,23
0.08135700225830078,19,24,46,23
0.10267496109008789,19,24,45,23
0.12388110160827637,19,23,45,23
0.14533400535583496,19,24,44,23
0.16628623008728027,19,24,44,23
0.1876380443572998,19,24,43,23
0.20891022682189941,19,24,43,23
0.23017024993896484,19,24,43,23
0.25142598152160645,19,24,43,23
0.27262210845947266,19,24,44,23
0.29390692710876465,19,24,43,23
0.31510496139526367,20,24,43,23
0.3365061283111572,19,24,44,23
0.3578071594238281,19,24,43,23
0.37892985343933105,19,24,43,23
0.40051889419555664,19,24,44,23
0.42161989212036133,19,24,43,23
0.4428400993347168,19,24,44,23
0.463878870010376,19,24,43,23
0.48525214195251465,19,24,43,23
0.5066070556640625,19,24,43,23
0.5277209281921387,19,24,43,23
0.5490870475769043,19,24,43,23
0.5702149868011475,19,24,47,23
0.591576099395752,22,24,47,25
0.612929105758667,22,24,53,24
0.6342310905456543,21,24,51,24
0.6556150913238525,20,24,57,24
0.6765520572662354,20,24,76,24
0.6980888843536377,19,24,80,25
0.719224214553833,19,24,83,25
0.7405061721801758,19,24,89,24
0.7618839740753174,19,24,80,24
0.7828679084777832,19,31,91,24
0.804189920425415,19,41,78,25
0.825314998626709,19,35,81,25
0.8466901779174805,19,31,75,24
0.8680250644683838,19,28,80,24
0.8891370296478271,19,26,70,24
0.9106149673461914,19,26,74,24
0.9316391944885254,19,28,78,26
0.9530081748962402,19,27,103,25
0.9744100570678711,19,26,90,25
0.9957730770111084,19,25,104,24
1.0170190334320068,20,25,114,24
1.0384068489074707,19,24,108,24
1.0594382286071777,19,24,99,24
1.0809030532836914,19,25,130,24
1.1021780967712402,19,25,100,24
1.1234922409057617,19,27,84,25
1.1448330879211426,19,33,77,29
1.1660420894622803,19,30,66,27
1.187169075012207,19,28,57,27
1.2085020542144775,19,29,53,26
1.2296431064605713,19,28,50,25
1.2509961128234863,19,26,48,26
1.272334098815918,19,26,49,26
1.2935419082641602,19,25,69,26
1.3148980140686035,19,25,93,25
1.3361339569091797,19,24,102,25
1.3573651313781738,19,24,87,24
1.378650188446045,19,24,82,24
1.3997840881347656,19,24,73,25
1.4211461544036865,19,24,72,25
1.442568063735962,19,24,73,25
1.4636681079864502,19,24,66,25
1.4849789142608643,19,24,95,25
1.5063669681549072,19,24,115,26
1.5276212692260742,19,24,106,25
1.549180030822754,19,24,105,25
1.5701792240142822,19,35,91,25
1.5915191173553467,19,47,94,25
1.6126160621643066,19,47,82,25
1.633915901184082,19,49,72,24
1.6553878784179688,19,47,88,24
1.6764421463012695,19,40,85,25
1.6978089809417725,19,44,94,24
1.7192199230194092,19,38,113,24
1.7406022548675537,19,34,118,25
1.7618491649627686,19,31,121,25
1.7832179069519043,20,32,144,24
1.8044791221618652,20,31,174,24
1.8258070945739746,20,30,156,24
1.8469810485839844,20,30,126,25
1.8682889938354492,20,36,99,25
1.8894431591033936,20,43,85,25
1.9107410907745361,20,45,84,27
1.932143211364746,19,43,108,28
1.9534132480621338,19,38,211,30
1.9748389720916748,21,42,202,32
1.9960498809814453,20,46,191,29
2.017252206802368,20,42,165,28
2.038547992706299,20,41,150,28
2.0599400997161865,20,51,130,29
2.0812859535217285,20,58,109,28
2.1026082038879395,21,66,92,31
2.123777151107788,21,74,90,34
2.145236015319824,20,61,86,32
2.166264057159424,20,52,76,32
2.1875672340393066,20,53,80,29
2.2086660861968994,20,44,75,28
2.2298381328582764,19,48,75,28
2.251254081726074,19,65,79,29
2.272407054901123,20,75,80,29
2.29394793510437,19,65,73,27
2.315031051635742,20,52,63,27
2.3363630771636963,21,51,70,27
2.357779026031494,21,48,67,25
2.378870964050293,20,52,62,25
2.4002182483673096,20,44,61,24
2.4213321208953857,20,40,56,24
2.4426848888397217,21,59,64,24
2.4638452529907227,21,89,71,25
2.485114097595215,21,86,76,28
2.5064570903778076,20,81,106,36
2.528212070465088,21,104,134,36
2.5492119789123535,20,80,122,35
2.570510149002075,20,68,111,35
2.591845989227295,20,57,95,35
2.6130220890045166,21,65,89,33
2.6342740058898926,22,59,107,30
2.6559510231018066,24,93,126,37
2.677189826965332,27,99,226,35
2.6986031532287598,36,160,292,38
2.7199361324310303,31,160,235,36
2.741274118423462,29,140,198,34
2.7626712322235107,25,126,168,32
2.783696174621582,24,121,125,30
2.8052361011505127,22,98,104,30
2.826594114303589,21,78,98,28
2.8477771282196045,21,67,117,28
2.8690130710601807,21,52,90,26
2.890144109725952,20,44,82,26
2.9115099906921387,19,44,132,25
2.9327878952026367,20,43,125,26
2.954200029373169,20,46,175,25
2.975567102432251,20,43,199,25
2.9969029426574707,19,38,227,24
3.0181491374969482,19,38,179,24
3.0396511554718018,19,44,153,24
3.06089186668396,19,50,124,24
3.08221697807312,19,47,106,24
3.103543996810913,19,46,104,23
3.12471604347229,20,46,98,24
3.1460161209106445,20,39,87,24
3.1671769618988037,19,34,77,25
3.1885011196136475,19,31,92,25
3.2095999717712402,20,28,99,26
3.2310900688171387,20,28,129,26
3.252410888671875,19,27,133,26
3.273667097091675,19,26,132,25
3.295180082321167,19,26,122,25
3.3163130283355713,20,26,116,25
3.3375051021575928,19,30,89,24
3.3589730262756348,20,43,78,24
3.380283832550049,21,49,73,24
3.40132999420166,22,57,67,30
3.422693967819214,22,63,66,32
3.4439339637756348,23,120,60,33
3.465287923812866,26,123,62,38
3.4866230487823486,31,117,63,38
3.5080041885375977,32,148,82,38
3.529423236846924,39,159,126,43
3.5508010387420654,47,198,157,48
3.5720388889312744,55,175,199,50
3.593395948410034,56,213,230,51
3.6149940490722656,55,213,210,45
3.6364128589630127,49,180,187,42
3.657594919204712,41,183,146,35
3.678992986679077,34,164,132,31
3.700247049331665,33,138,111,29
3.721597909927368,28,119,91,28
3.7426810264587402,25,91,83,27
3.7639591693878174,24,89,76,25
3.7851810455322266,22,86,71,25
3.806442975997925,22,67,63,25
3.8278050422668457,21,64,62,24
3.848997116088867,21,49,56,24
3.8703229427337646,21,54,54,24
3.8914639949798584,21,52,54,24
3.9127249717712402,21,54,51,23
3.9341230392456055,20,52,50,23
3.9552090167999268,20,52,60,23
3.9766299724578857,20,49,62,23
3.997786045074463,20,49,57,23
4.019158124923706,19,53,63,23
4.0403149127960205,20,53,59,23
4.061609983444214,20,45,58,23
4.082876920700073,20,46,54,23
4.104079246520996,20,44,58,23
4.1253461837768555,19,40,67,23
4.146589040756226,19,42,59,23
4.167891025543213,19,37,65,23
4.189199209213257,19,39,59,23
4.210345029830933,19,35,54,23
4.231719017028809,19,35,55,23
4.2528698444366455,19,32,54,23
