Time (s),Temporalis,Buccinator,Suprahyoid,Massater
3.4656620025634766,26,119,112,32
3.486846923828125,25,98,104,30
3.508352041244507,24,90,92,30
3.529304027557373,23,77,84,28
3.5506460666656494,22,62,78,27
3.5720150470733643,21,58,76,27
3.5931670665740967,21,45,75,27
3.6144680976867676,20,38,69,26
3.6358041763305664,20,34,61,26
3.657118082046509,20,32,65,25
3.678298234939575,20,33,56,25
3.699651002883911,20,31,59,25
3.722651243209839,20,31,54,25
3.741981267929077,20,38,53,27
3.763458013534546,23,36,58,30
3.7844879627227783,29,61,63,30
3.8059792518615723,34,88,64,28
3.8272581100463867,34,117,66,30
3.8485841751098633,31,108,60,32
3.8696839809417725,31,99,65,30
3.8910939693450928,31,152,66,28
3.912461042404175,58,220,73,28
3.9338650703430176,59,226,83,29
3.955018997192383,53,173,89,29
3.9765970706939697,40,146,101,28
3.9979729652404785,35,126,99,27
4.019134044647217,29,98,99,25
4.040282249450684,25,86,89,24
4.061643123626709,24,73,130,24
4.082978010177612,23,61,102,24
4.104222059249878,21,50,99,24
4.125351905822754,21,43,94,24
4.146697998046875,21,43,92,24
4.167927980422974,20,47,90,24
4.189172029495239,20,50,89,24
4.210240125656128,20,45,97,23
4.231664180755615,20,40,98,23
4.253026008605957,20,42,120,24
4.274281978607178,20,40,136,24
4.295635938644409,20,40,130,23
4.3169660568237305,19,35,117,23
4.338308095932007,20,35,108,23
4.3594911098480225,19,31,92,25
4.380861282348633,19,32,79,26
4.4019739627838135,19,32,73,27
4.423346996307373,19,31,73,26
4.444643020629883,19,31,71,26
4.465881109237671,19,31,97,25
4.4871742725372314,19,29,100,25
4.50861120223999,19,32,142,24
4.529848098754883,19,29,149,24
4.551143169403076,19,28,121,24
4.572448015213013,20,27,111,24
4.593691110610962,20,27,104,24
4.614883184432983,20,28,87,24
4.636219263076782,20,30,90,24
4.657373905181885,20,29,95,25
4.678843259811401,21,33,102,24
4.700121164321899,20,34,94,24
4.721167087554932,20,32,86,23
4.742729902267456,20,31,86,23
4.763894081115723,19,28,78,23
4.785221099853516,19,29,76,24
4.806391000747681,19,28,78,23
4.827632188796997,19,26,69,23
4.848893880844116,19,25,61,24
4.870225191116333,19,25,57,23
4.891297101974487,19,26,52,23
4.912706136703491,19,25,49,23
4.933829069137573,19,25,48,23
4.955161094665527,19,24,48,23
4.97636604309082,19,24,52,23
4.997709035873413,19,24,63,23
5.018978118896484,20,24,74,23
