Time (s),Temporalis,Buccinator,Suprahyoid,Massater
0.0017099380493164062,19,23,42,23
0.0022368431091308594,19,23,42,23
0.002895832061767578,19,23,42,23
0.0033888816833496094,19,23,44,23
0.016634702682495117,19,23,43,23
0.03770804405212402,19,23,42,23
0.059152841567993164,19,23,42,23
0.08045101165771484,22,23,42,23
0.1016838550567627,22,23,42,23
0.12282490730285645,21,23,42,23
0.14423704147338867,21,23,42,23
0.1655728816986084,20,24,42,23
0.18667173385620117,20,23,42,23
0.207899808883667,20,23,42,23
0.22905588150024414,20,24,42,23
0.25041890144348145,19,23,42,23
0.27177977561950684,19,23,42,23
0.2929039001464844,19,23,41,23
0.31427884101867676,19,23,42,23
0.335310697555542,19,23,43,23
0.356935977935791,19,23,43,23
0.3780639171600342,19,23,44,23
0.39938783645629883,19,23,44,23
0.42063283920288086,19,24,43,23
0.44180989265441895,19,23,43,23
0.46327877044677734,19,23,42,23
0.48433685302734375,19,23,43,23
0.5055899620056152,19,23,42,23
0.5269029140472412,19,23,42,23
0.548027753829956,19,23,42,23
0.5694148540496826,19,23,42,23
0.5906517505645752,19,24,42,23
0.611879825592041,19,23,42,23
0.6330628395080566,19,24,44,23
0.6544010639190674,19,24,43,23
0.6756889820098877,19,23,43,23
0.6968717575073242,19,23,43,23
0.7182750701904297,19,23,42,23
0.7393598556518555,19,23,43,23
0.7606818675994873,19,23,43,23
0.7821328639984131,19,23,44,23
0.803210973739624,19,23,43,23
0.824516773223877,20,23,43,23
0.8456709384918213,19,23,45,23
0.8670058250427246,19,23,44,23
0.8881828784942627,19,23,44,23
0.9095048904418945,19,23,43,23
0.9308369159698486,19,23,44,23
0.9520139694213867,19,23,44,23
0.9733450412750244,19,23,45,23
0.9944760799407959,19,23,49,23
1.0158188343048096,19,23,47,23
1.0371367931365967,19,23,46,23
1.0582928657531738,19,23,46,23
1.0796418190002441,19,23,45,22
1.1008508205413818,20,24,46,23
1.122473955154419,20,24,45,23
1.1433846950531006,19,24,45,23
1.1647028923034668,19,23,47,23
1.186218023300171,19,23,53,24
1.2071938514709473,19,24,63,24
1.2285120487213135,19,24,95,25
1.2498328685760498,20,25,150,27
1.2711989879608154,20,25,168,29
1.2924838066101074,20,25,140,28
1.3136940002441406,20,25,114,26
1.3350379467010498,20,25,88,26
1.355921745300293,19,24,72,25
1.3772709369659424,19,24,66,24
1.3987069129943848,19,24,58,24
1.4199638366699219,19,24,56,24
1.4413068294525146,19,29,54,26
1.462756872177124,19,33,50,26
1.4837749004364014,19,38,51,25
1.5051229000091553,19,34,63,25
1.5265178680419922,19,35,55,25
1.5479490756988525,19,32,70,26
1.5689740180969238,19,31,80,26
1.5901408195495605,20,28,73,26
1.611459732055664,20,28,120,25
1.6328659057617188,20,26,100,25
1.6541008949279785,20,26,130,27
1.6754229068756104,19,25,104,26
1.6966190338134766,20,24,83,25
1.7179057598114014,19,24,75,24
1.739306926727295,19,24,67,24
1.7604637145996094,19,24,67,24
1.7818067073822021,19,24,67,23
1.8029439449310303,19,24,79,23
1.8242690563201904,19,24,72,23
1.84543776512146,19,25,85,23
1.8667457103729248,19,25,98,25
1.88804292678833,19,24,99,24
1.9094319343566895,19,24,100,25
1.9307568073272705,19,24,110,26
1.951899766921997,19,24,98,24
1.9732589721679688,19,24,85,24
1.9944660663604736,19,24,77,25
2.015765905380249,20,25,70,25
2.0370450019836426,20,25,123,24
2.058434009552002,20,25,133,24
2.0797150135040283,20,24,113,24
2.1008787155151367,20,24,90,24
2.122225761413574,20,24,74,24
2.1433918476104736,20,24,65,24
2.1646909713745117,19,25,75,24
2.1860249042510986,19,24,75,24
2.2073237895965576,20,30,69,23
2.2285428047180176,20,29,102,23
2.249870777130127,20,34,92,24
2.2710437774658203,20,30,77,23
2.2923808097839355,20,29,107,23
2.3137006759643555,19,30,86,23
2.3348610401153564,19,32,98,23
2.3562307357788086,19,32,84,23
2.3775129318237305,19,29,105,23
2.398671865463257,19,30,93,24
2.4200398921966553,19,30,119,24
2.4413459300994873,19,32,101,24
2.4628169536590576,19,30,98,24
2.4840567111968994,20,28,128,24
2.5053796768188477,20,27,168,24
2.526702880859375,20,30,153,24
2.5478289127349854,20,28,148,23
2.5692389011383057,20,28,220,23
2.590517997741699,20,26,165,23
2.6118557453155518,19,25,132,23
2.6333088874816895,19,25,113,23
2.6545279026031494,19,27,87,23
2.6757287979125977,19,29,74,24
2.6969966888427734,19,30,70,23
2.7181918621063232,19,28,83,24
2.7395358085632324,19,28,94,24
2.760685920715332,19,28,89,25
2.782294988632202,19,32,128,24
2.803325891494751,19,30,107,26
2.8247129917144775,19,28,124,25
2.8459959030151367,19,28,131,25
2.8673229217529297,19,28,132,24
2.888657808303833,19,27,116,24
2.909986972808838,19,28,131,24
2.9313318729400635,19,26,136,27
2.9526498317718506,19,25,139,31
2.9740068912506104,21,39,120,29
